index,x,y,z
235,9.240000000000002,4.18,1.0
236,9.400000000000002,4.34,1.0
237,9.559999999999999,4.34,1.0
238,9.719999999999999,4.5,1.0
239,9.879999999999999,4.5,1.0
240,10.04,4.66,1.0
241,10.2,4.66,1.0
242,10.36,4.66,1.0
243,10.52,4.82,1.0
244,10.68,4.82,1.0
245,10.84,4.98,1.0
246,11.0,4.98,1.0
247,11.16,5.140000000000001,1.0
248,11.32,5.140000000000001,1.0
249,11.48,5.300000000000001,1.0
250,11.64,5.300000000000001,1.0
251,11.8,5.460000000000001,1.0
252,11.96,5.460000000000001,1.0
253,12.120000000000001,5.460000000000001,1.0
254,12.280000000000001,5.620000000000001,1.0
255,12.440000000000001,5.620000000000001,1.0
256,12.600000000000001,5.780000000000001,1.0
257,12.760000000000002,5.780000000000001,1.0
258,12.920000000000002,5.9399999999999995,1.0
259,13.080000000000002,5.9399999999999995,1.0
260,13.240000000000002,6.1,1.0
261,13.400000000000002,6.1,1.0
262,13.559999999999999,6.26,1.0
263,13.8,6.3,1.0
264,-6.4399999999999995,-5.58,1.0
265,-6.279999999999999,-5.42,1.0
266,-6.12,-5.26,1.0
267,-5.96,-5.1,1.0
268,-5.8,-4.9399999999999995,1.0
269,-5.640000000000001,-4.9399999999999995,1.0
270,-5.48,-4.779999999999999,1.0
271,-5.32,-4.62,1.0
272,-5.16,-4.46,1.0
273,-5.0,-4.3,1.0
274,-4.84,-4.140000000000001,1.0
275,-4.68,-3.98,1.0
276,-4.52,-3.82,1.0
277,-4.36,-3.66,1.0
278,-4.2,-3.5,1.0
279,-4.04,-3.34,1.0
280,-3.88,-3.1799999999999997,1.0
281,-3.7199999999999998,-3.0199999999999996,1.0
282,-3.5599999999999996,-2.8600000000000003,1.0
283,-3.3999999999999995,-2.7,1.0
284,-3.24,-2.54,1.0
285,-3.08,-2.38,1.0
286,-2.92,-2.2199999999999998,1.0
287,-2.76,-2.0599999999999996,1.0
288,-2.5999999999999996,-1.8999999999999995,1.0
289,-2.4399999999999995,-1.7400000000000002,1.0
290,-2.2800000000000002,-1.58,1.0
291,-2.12,-1.42,1.0
292,-1.96,-1.2599999999999998,1.0
293,-1.7999999999999998,-1.0999999999999996,1.0
294,-1.6399999999999997,-0.9399999999999995,1.0
295,-1.4799999999999995,-0.7800000000000002,1.0
296,-1.3200000000000003,-0.6200000000000001,1.0
297,-1.1600000000000001,-0.45999999999999996,1.0
298,-1.0,-0.45999999999999996,1.0
299,-0.8399999999999999,-0.2999999999999998,1.0
300,-0.6799999999999997,-0.2999999999999998,1.0
301,-0.5199999999999996,-0.13999999999999968,1.0
302,-0.35999999999999943,-0.13999999999999968,1.0
303,-0.1999999999999993,-0.13999999999999968,1.0
304,-0.03999999999999915,0.020000000000000462,1.0
305,0.120000000000001,0.17999999999999972,1.0
