time,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,yaw_ref,segment_index
22.55,86.14,31.0910112371,2.2,0,0.0321184524717,0,1.57079632679,25
22.6,86.14,31.0944964782,2.2,0,0.113803790073,0,1.57079632679,25
22.65,86.14,31.1028828395,2.2,0,0.225051440329,0,1.57079632679,25
22.7,86.14,31.1172038907,2.2,0,0.348524107097,0,1.57079632679,25
22.75,86.14,31.1376930183,2.2,0,0.469551770563,0,1.57079632679,25
22.8,86.14,31.1639167901,2.2,0,0.576131687243,0,1.57079632679,25
22.85,86.14,31.1949083183,2.2,0,0.658928389981,0,1.57079632679,25
22.9,86.14,31.2293006239,2.2,0,0.711273687954,0,1.57079632679,25
22.95,86.14,31.26546,2.2,0,0.729166666667,0,1.57079632679,25
23,86.14,31.3016193761,2.2,0,0.711273687954,0,1.57079632679,25
23.05,86.14,31.3360116817,2.2,0,0.658928389981,0,1.57079632679,25
23.1,86.14,31.3670032099,2.2,0,0.576131687243,0,1.57079632679,25
23.15,86.14,31.3932269817,2.2,0,0.469551770563,0,1.57079632679,25
23.2,86.14,31.4137161093,2.2,0,0.348524107097,0,1.57079632679,25
23.25,86.14,31.4280371605,2.2,0,0.225051440329,0,1.57079632679,25
23.3,86.14,31.4364235218,2.2,0,0.113803790073,0,1.57079632679,25
23.35,86.14,31.4399087629,2.2,0,0.0321184524717,0,1.57079632679,25
23.4,86.14,31.44046,2.2,0,0,0,1.57079632679,25
23.45,86.14,31.4410112371,2.2,0,0.0321184524717,0,1.57079632679,26
23.5,86.14,31.4444964782,2.2,0,0.113803790073,0,1.57079632679,26
23.55,86.14,31.4528828395,2.2,0,0.225051440329,0,1.57079632679,26
23.6,86.14,31.4672038907,2.2,0,0.348524107097,0,1.57079632679,26
23.65,86.14,31.4876930183,2.2,0,0.469551770563,0,1.57079632679,26
23.7,86.14,31.5139167901,2.2,0,0.576131687243,0,1.57079632679,26
23.75,86.14,31.5449083183,2.2,0,0.658928389981,0,1.57079632679,26
23.8,86.14,31.5793006239,2.2,0,0.711273687954,0,1.57079632679,26
23.85,86.14,31.61546,2.2,0,0.729166666667,0,1.57079632679,26
23.9,86.14,31.6516193761,2.2,0,0.711273687954,0,1.57079632679,26
23.95,86.14,31.6860116817,2.2,0,0.658928389981,0,1.57079632679,26
24,86.14,31.7170032099,2.2,0,0.576131687243,0,1.57079632679,26
24.05,86.14,31.7432269817,2.2,0,0.469551770563,0,1.57079632679,26
24.1,86.14,31.7637161093,2.2,0,0.348524107097,0,1.57079632679,26
24.15,86.14,31.7780371605,2.2,0,0.225051440329,0,1.57079632679,26
24.2,86.14,31.7864235218,2.2,0,0.113803790073,0,1.57079632679,26
24.25,86.14,31.7899087629,2.2,0,0.0321184524717,0,1.57079632679,26
24.3,86.14,31.79046,2.2,0,0,0,1.57079632679,26
24.35,86.14,31.7910112371,2.2,0,0.0321184524717,0,1.57079632679,27
24.4,86.14,31.7944964782,2.2,0,0.113803790073,0,1.57079632679,27
24.45,86.14,31.8028828395,2.2,0,0.225051440329,0,1.57079632679,27
24.5,86.14,31.8172038907,2.2,0,0.348524107097,0,1.57079632679,27
24.55,86.14,31.8376930183,2.2,0,0.469551770563,0,1.57079632679,27
24.6,86.14,31.8639167901,2.2,0,0.576131687243,0,1.57079632679,27
24.65,86.14,31.8949083183,2.2,0,0.658928389981,0,1.57079632679,27
24.7,86.14,31.9293006239,2.2,0,0.711273687954,0,1.57079632679,27
24.75,86.14,31.96546,2.2,0,0.729166666667,0,1.57079632679,27
24.8,86.14,32.0016193761,2.2,0,0.711273687954,0,1.57079632679,27
24.85,86.14,32.0360116817,2.2,0,0.658928389981,0,1.57079632679,27
24.9,86.14,32.0670032099,2.2,0,0.576131687243,0,1.57079632679,27
24.95,86.14,32.0932269817,2.2,0,0.469551770563,0,1.57079632679,27
25,86.14,32.1137161093,2.2,0,0.348524107097,0,1.57079632679,27
25.05,86.14,32.1280371605,2.2,0,0.225051440329,0,1.57079632679,27
25.1,86.14,32.1364235218,2.2,0,0.113803790073,0,1.57079632679,27
25.15,86.14,32.1399087629,2.2,0,0.0321184524717,0,1.57079632679,27
25.2,86.14,32.14046,2.2,0,0,0,1.57079632679,27
25.25,86.14,32.1410112371,2.2,0,0.0321184524717,0,1.57079632679,28
25.3,86.14,32.1444964782,2.2,0,0.113803790073,0,1.57079632679,28
25.35,86.14,32.1528828395,2.2,0,0.225051440329,0,1.57079632679,28
25.4,86.14,32.1672038907,2.2,0,0.348524107097,0,1.57079632679,28
25.45,86.14,32.1876930183,2.2,0,0.469551770563,0,1.57079632679,28
25.5,86.14,32.2139167901,2.2,0,0.576131687243,0,1.57079632679,28
25.55,86.14,32.2449083183,2.2,0,0.658928389981,0,1.57079632679,28
25.6,86.14,32.2793006239,2.2,0,0.711273687954,0,1.57079632679,28
25.65,86.14,32.31546,2.2,0,0.729166666667,0,1.57079632679,28
25.7,86.14,32.3516193761,2.2,0,0.711273687954,0,1.57079632679,28
25.75,86.14,32.3860116817,2.2,0,0.658928389981,0,1.57079632679,28
25.8,86.14,32.4170032099,2.2,0,0.576131687243,0,1.57079632679,28
25.85,86.14,32.4432269817,2.2,0,0.469551770563,0,1.57079632679,28
25.9,86.14,32.4637161093,2.2,0,0.348524107097,0,1.57079632679,28
25.95,86.14,32.4780371605,2.2,0,0.225051440329,0,1.57079632679,28
26,86.14,32.4864235218,2.2,0,0.113803790073,0,1.57079632679,28
26.05,86.14,32.4899087629,2.2,0,0.0321184524717,0,1.57079632679,28
26.1,86.14,32.49046,2.2,0,0,0,1.57079632679,28
26.15,86.14,32.4910112371,2.2,0,0.0321184524717,0,1.57079632679,29
26.2,86.14,32.4944964782,2.2,0,0.113803790073,0,1.57079632679,29
26.25,86.14,32.5028828395,2.2,0,0.225051440329,0,1.57079632679,29
26.3,86.14,32.5172038907,2.2,0,0.348524107097,0,1.57079632679,29
26.35,86.14,32.5376930183,2.2,0,0.469551770563,0,1.57079632679,29
26.4,86.14,32.5639167901,2.2,0,0.576131687243,0,1.57079632679,29
26.45,86.14,32.5949083183,2.2,0,0.658928389981,0,1.57079632679,29
26.5,86.14,32.6293006239,2.2,0,0.711273687954,0,1.57079632679,29
26.55,86.14,32.66546,2.2,0,0.729166666667,0,1.57079632679,29
26.6,86.14,32.7016193761,2.2,0,0.711273687954,0,1.57079632679,29
26.65,86.14,32.7360116817,2.2,0,0.658928389981,0,1.57079632679,29
26.7,86.14,32.7670032099,2.2,0,0.576131687243,0,1.57079632679,29
26.75,86.14,32.7932269817,2.2,0,0.469551770563,0,1.57079632679,29
26.8,86.14,32.8137161093,2.2,0,0.348524107097,0,1.57079632679,29
26.85,86.14,32.8280371605,2.2,0,0.225051440329,0,1.57079632679,29
26.9,86.14,32.8364235218,2.2,0,0.113803790073,0,1.57079632679,29
26.95,86.14,32.8399087629,2.2,0,0.0321184524717,0,1.57079632679,29
27,86.14,32.84046,2.2,0,0,0,1.57079632679,29
27.05,86.14,32.8410112371,2.2,0,0.0321184524717,0,1.57079632679,30
27.1,86.14,32.8444964782,2.2,0,0.113803790073,0,1.57079632679,30
27.15,86.14,32.8528828395,2.2,0,0.225051440329,0,1.57079632679,30
27.2,86.14,32.8672038907,2.2,0,0.348524107097,0,1.57079632679,30
