t,phase,uav_a,uav_b,distance_m
18.011,takeoff,2,3,1.4813641596688987
18.045,takeoff,2,3,1.4801278797647055
18.079,takeoff,2,3,1.4789510588707333
18.113,takeoff,2,3,1.4778552337403172
18.147,takeoff,2,3,1.4768569584969986
18.181,hover,2,3,1.4759668583466186
18.215,hover,2,3,1.4751946418860806
18.249,hover,2,3,1.4746662857495814
18.283,hover,2,3,1.4739692858617615
18.317,hover,2,3,1.4735023216184462
18.351,hover,2,3,1.473077030311284
18.385,hover,2,3,1.4727013116844836
18.419,hover,2,3,1.4723708914454445
18.453,hover,2,3,1.4720812935508736
18.487,hover,2,3,1.4718308847979602
18.521,hover,2,3,1.4716178857819056
18.555,hover,2,3,1.4714457692856222
18.589,hover,2,3,1.4713248979613354
18.623,hover,2,3,1.471259966652412
18.657,hover,2,3,1.471257404860727
18.691,hover,2,3,1.4713215847018866
18.725,hover,2,3,1.4714536550628665
18.759,hover,2,3,1.4716544011078072
18.793,hover,2,3,1.4719192593554833
18.826999999999998,hover,2,3,1.4722356017360865
18.861,hover,2,3,1.4725928198733862
18.895,hover,2,3,1.4729328667655424
18.929,hover,2,3,1.4732634686776178
18.963,hover,2,3,1.473576895052609
18.997,hover,2,3,1.4737853294746381
19.031,hover,2,3,1.4739432510865256
19.067,hover,2,3,1.4740232753728486
19.101,hover,2,3,1.4740129626045393
19.135,hover,2,3,1.4739276341663348
19.17,hover,2,3,1.473771665876386
19.204,hover,2,3,1.4735657593507376
19.238,hover,2,3,1.4733225181970722
19.272,hover,2,3,1.4730578623686639
19.306,hover,2,3,1.4727889934413056
19.34,hover,2,3,1.4725303881832636
19.375,hover,2,3,1.4722871122601127
19.409,hover,2,3,1.472083701445076
19.443,hover,2,3,1.4719212344547818
19.477,hover,2,3,1.4718048414326141
19.511,hover,2,3,1.4717357284599066
19.545,hover,2,3,1.471716779229887
19.579,hover,2,3,1.4717397277983968
19.613,hover,2,3,1.4718009329639872
19.647,hover,2,3,1.471892590676138
19.681,hover,2,3,1.472003910822347
19.715,hover,2,3,1.4721249995180767
19.749,hover,2,3,1.472245495399779
19.783,hover,2,3,1.4723577752268546
19.817,hover,2,3,1.472457093164928
19.851,hover,2,3,1.4725411014977758
19.885,hover,2,3,1.47260681192387
19.919,hover,2,3,1.4726515933333206
19.953,hover,2,3,1.4726749583054195
19.988,hover,2,3,1.4726773063416587
20.023,hover,2,3,1.4726594743896753
20.057,hover,2,3,1.4726259696797206
20.091,hover,2,3,1.4725843095677753
20.125,hover,2,3,1.4725441924284286
20.159,hover,2,3,1.4725124671684326
20.193,hover,2,3,1.472495938464997
20.227,hover,2,3,1.4724996673630655
20.261,hover,2,3,1.4725258944427486
20.295,hover,2,3,1.47257366550143
20.329,hover,2,3,1.472639766336439
20.363,hover,2,3,1.4727190588579555
20.397,hover,2,3,1.472805193782811
20.431,hover,2,3,1.4728908822474478
20.465,hover,2,3,1.4729676008162005
20.499,hover,2,3,1.4730359066306593
20.533,hover,2,3,1.4730857529618162
20.567,hover,2,3,1.4731176341926204
20.601,hover,2,3,1.4731304374115175
20.635,hover,2,3,1.4731227388739017
20.669,hover,2,3,1.4730950262708808
20.703,hover,2,3,1.4730523759898748
20.737,hover,2,3,1.472999305922576
20.771,hover,2,3,1.472940147886763
20.805,hover,2,3,1.4728781762546996
20.839,hover,2,3,1.472816383120236
20.873,hover,2,3,1.4727589853350533
