time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,battery_voltage,voltage_margin,battery_low_active,esc_saturation_ratio,flight_mode,active_setpoint_source,safety_status,event_code,system_supervisor_keepalive
0.46,0.35362783095820416,0.4331136865985195,0.0007192104697050603,0.0,0.0,0.9200000000000002,0.963578198390965,2.9881405132560923,-3.0418494615994707,130.15917037669055,-130.15917037669055,85.64948599371999,-113.37668864117506,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.47000000000000003,0.36789925964211245,0.4495413454607326,0.001008140752256022,0.0,0.0,0.9400000000000001,-0.369159320103884,-0.26291725903905677,1.2797427611640808,102.67532096154821,-130.15917037669055,119.67890898493957,-101.7523285143395,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.48,0.38295226783825703,0.46583949520279405,0.0009225722963469731,0.0,0.0,0.96,1.3665546570057625,1.1730729068867338,1.0112092711332499,130.15917037669055,-130.15917037669055,100.54263614193857,-105.15040129580476,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.49,0.3969803302984989,0.48306101701003273,0.0010841694144482128,0.0,0.0,0.9800000000000001,0.8895929506542314,3.1287106255279453,2.5433041139070256,130.15917037669055,-127.43469145209085,106.36433447028705,-97.63979079304107,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.5,0.4112689396940772,0.4994685381942696,0.0013662991579797613,0.0,0.0,1.0,-0.29685823393747435,-0.3735076078088013,0.6805038818006113,99.16396357064076,-111.00815902803106,130.15917037669055,-110.57615575841194,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.51,0.4263510619464124,0.5157587401090852,0.0009222125324311441,0.0,0.0,1.02,1.3753412857728347,1.0686185872183447,0.4472105713563433,130.15917037669055,-103.73575032066708,124.516751950226,-118.76746943899886,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.52,0.4404159859726422,0.5329990311285963,0.001068113110648026,0.0,0.0,1.04,0.8073928690393485,3.0985296440195107,2.0294840586063962,130.15917037669055,-124.97760625117647,117.83100768841496,-91.24587886315717,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.53,0.45467262819781534,0.549465861697585,0.001385164239625695,0.0,0.0,1.06,-0.3780026300680797,-0.41124124922878136,0.14302998765398686,104.95717618069745,-105.82210631771065,130.15917037669055,-114.0119608101254,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.54,0.469773829662715,0.5657403593132209,0.0009226902041449719,0.0,0.0,1.08,1.1790107153123461,1.0773123737277681,0.09236610768106675,130.15917037669055,-107.68518265423819,130.15917037669055,-118.65807647215061,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.55,0.48388560523100693,0.5829787105313265,0.0010575269332456171,0.0,0.0,1.1,0.8639290930632426,2.998843483673364,1.4462858004678798,130.15917037669055,-124.39049865615848,116.43730450268941,-97.81375594723039,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.56,0.49815170095573097,0.5994668612531423,0.0013707751664619263,0.0,0.0,1.12,-0.444338393856834,-0.2857264326143261,-0.5312749190343298,121.6799932692949,-128.6188323188134,130.15917037669055,-102.13090554660468,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.5700000000000001,0.5132267993006531,0.6157795009055944,0.0009230283470000086,0.0,0.0,1.1400000000000001,1.0759675597662275,1.2392449842177464,-0.5494351765862593,130.15917037669055,-130.15917037669055,119.7215580660455,-104.27077633937876,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.58,0.5272873134575925,0.632998112153267,0.0010858634011374822,0.0,0.0,1.16,1.0505640445993594,3.038306511342536,0.609337856319633,130.15917037669055,-125.7900225196648,104.19962287282121,-115.31523691324732,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.59,0.5416435386295289,0.649376041371057,0.0013007219836289807,0.0,0.0,1.18,-0.30491076183138294,-0.1367736434277246,-1.3636671622696075,127.65735091177041,-130.15917037669055,130.15917037669055,-97.85218352641272,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.6,0.5566575332054574,0.6657623351397721,0.0009222550369750942,0.0,0.0,1.2,-1.4022480580588623,1.8289597843477068,1.0908045855138562,130.15917037669055,-130.15917037669055,105.10135756384159,-117.96389692506432,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.61,0.570615715091111,0.6829713927919011,0.0011326348993569188,0.0,0.0,1.22,1.078144179223433,-3.057501496796843,-0.21184203202701096,130.15917037669055,-130.15917037669055,96.61298487934627,-128.24911554077153,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.62,0.5850351618638585,0.6992660642210952,0.0012818098151004434,0.0,0.0,1.24,-0.1456114297507768,-0.19538484071211884,-2.0832173032749552,97.82054950123371,-130.15917037669055,130.15917037669055,-130.15917037669055,14.0,0.0,1.0,1.0,6.0,30.0,0.0,61.0,0.031
0.63,0.6000562643329762,0.715672043055268,0.000921353159287974,0.0,0.0,1.26,-1.2690863094628775,1.9647918890406761,0.30306538832478025,130.15917037669055,-130.15917037669055,95.88037352522548,-130.15917037669055,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
0.64,0.6140121269769945,0.7329077256205137,0.0011298127567500502,0.0,0.0,1.28,0.9699231847871788,-3.008690244074193,-0.8098906411008159,130.15917037669055,-130.15917037669055,92.60975517185724,-130.15917037669055,14.0,0.0,1.0,0.75,6.0,30.0,0.0,61.0,0.031
